Iteration,Distance,Target,Prediction RFC,Prediction Decision Tree,Accuracy RFC,Accuracy Decision Tree
75,0.76,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.847,0.84
76,0.77,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.853,0.853
77,0.78,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.86,0.853
78,0.79,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.873,0.853
79,0.8,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 4 5 4 4 2 4 0 1],0.847,0.853
80,0.81,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.847,0.853
81,0.82,3,[3 3 3 6 6 6 5 5 5 4 6 2 4 0 1],[3 3 3 6 6 6 5 4 5 4 6 2 4 0 1],0.853,0.867
82,0.83,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 6 5 4 5 4 6 2 4 0 1],0.853,0.9
83,0.84,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.86,0.9
84,0.85,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.867,0.893
85,0.86,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 4 5 4 4 2 4 0 1],0.893,0.867
86,0.87,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 6 5 4 5 4 4 2 4 0 1],0.9,0.88
87,0.88,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],0.873,0.88
88,0.89,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 6 5 4 5 4 4 2 4 0 1],0.893,0.88
89,0.9,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 4 6 6 5 6 5 4 4 2 4 0 1],0.893,0.887
90,0.91,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 6 5 4 5 4 4 2 6 0 1],0.88,0.893
91,0.92,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 6 5 4 5 4 4 2 6 0 1],0.867,0.86
92,0.93,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 4 4 4 5 4 5 4 4 2 6 0 1],0.873,0.853
93,0.94,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 4 4 6 5 4 5 4 4 2 6 0 1],0.867,0.867
94,0.95,3,[3 3 3 6 6 6 5 5 5 4 4 2 0 0 1],[3 3 3 6 6 6 5 6 5 4 4 2 6 0 1],0.887,0.853
95,0.96,3,[3 3 3 6 6 6 5 5 5 4 4 2 6 0 1],[3 3 3 6 6 6 5 6 5 4 4 2 6 0 1],0.873,0.853
96,0.97,3,[3 3 3 6 6 6 5 5 5 4 4 2 6 0 1],[3 3 3 6 6 6 5 6 5 4 4 2 6 0 1],0.88,0.86
97,0.98,3,[3 3 3 6 6 6 5 5 5 4 4 2 2 0 1],[3 3 3 6 6 6 5 6 5 4 4 2 6 0 1],0.873,0.847
98,0.99,3,[3 3 3 6 6 6 5 5 5 4 4 2 6 0 1],[3 3 3 6 6 6 5 6 5 4 4 2 6 0 1],0.867,0.86
99,1.0,3,[3 3 3 6 6 6 5 5 5 4 4 2 6 0 1],[3 3 3 6 6 6 5 5 5 4 4 2 6 0 1],0.86,0.88
